CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,MODELYR,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,CASEWGT,PSUSTRAT,VERSION
13445,15,29,1-15-2019-029-02,2,3,3N1AB7AP1HY3,2017,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Sentra,2017,PASSENGER CAR,,,,,Sedan/Saloon,4,,1800.0,,AGUASCALIENTES,AGUASCALIENTES,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:22.797,999,"Nissan Mexicana, S.A. de C.V.",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,In-Line,96.94,130.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1AB7AP*HY******,Direct,12.924630393862,1,4
13387,30,35,1-30-2019-035-03,3,2,3N1BC13E27L4,2007,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa,2007,PASSENGER CAR,,,,,Hatchback/Liftback/Notchback,4,MR18DE,1800.0,,,,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:42.860,999,Aguascalientes Plant,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,In-Line,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1BC13E*7L******,,256.265990315214,10,4
13453,29,40,1-29-2019-040-04,4,2,3N1BC1AP2BL3,2011,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa,2011,PASSENGER CAR,,,,,Sedan/Saloon,4,,1800.0,,,,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:43.827,999,Aguascalientes Plant,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,,90.98,122.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1BC1AP*BL******,Direct,194.615364697559,2,4
13373,16,20,1-16-2019-020-02,2,4,3N1BC1AP7BL4,2011,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa,2011,PASSENGER CAR,,,,,Sedan/Saloon,4,,1800.0,,,,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:44.187,999,Aguascalientes Plant,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,,90.98,122.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1BC1AP*BL******,Direct,32.9025449031055,5,4
13398,13,27,1-13-2019-027-03,3,1,3N1CB51D34L8,2004,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Sentra,2004,PASSENGER CAR,,,,,Sedan/Saloon,4,QG18DE,1800.0,,AGUASCALIENTES,,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:46.217,999,,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,Nissan,4,4,,Gasoline,,Multipoint Fuel Injection (MPFI),In-Line,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1CB51D*4L******,,3683.27940586187,7,4
13321,17,36,1-17-2019-036-06,6,2,3N1CN7AP0CL8,2012,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa,2012,PASSENGER CAR,,,,,Sedan/Saloon,4,,1600.0,,,,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:52.250,999,Aguascalientes Plant,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,,81.28,109.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1CN7AP*CL******,Direct,160.927602470944,4,4
13328,13,25,1-13-2019-025-07,7,1,3N1CN7AP3EL8,2014,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa,2014,PASSENGER CAR,,,,,Sedan/Saloon,4,,1600.0,,,,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:55.640,999,Aguascalientes Plant,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1CN7AP*EL******,Direct,6323.28872142048,7,4
13400,21,34,1-21-2019-034-02,2,1,3N1CN7AP3HL8,2017,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa,2017,PASSENGER CAR,,,,,Sedan/Saloon,4,,1600.0,,AGUASCALIENTES,AGUASCALIENTES,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:56.390,999,"Nissan Mexicana, S.A. de C.V.",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,In-Line,81.28,109.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1CN7AP*HL******,Direct,32.7360487870005,11,4
13349,24,36,1-24-2019-036-02,2,1,3N6CM0KN3HK7,2017,3N6,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,NV200,2017,TRUCK,,,,,Van,,,2000,,JIUTEPEC,MORELOS,MEXICO,,,,,Standard,,,,,,,,22OCT2020:13:18:05.437,999,"Nissan Mexicana, S.A. de C.V.",,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,,,Gasoline,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,,Not Applicable,Not Applicable,3N6CM0KN*HK******,,57.6076865340657,1,4
13520,33,40,1-33-2019-040-09,9,1,3VWSC29M1YM0,2000,3VW,"VOLKSWAGEN GROUP OF AMERICA, INC.",Volkswagen,VOLKSWAGEN AG,VOLKSWAGEN,Jetta,2000,PASSENGER CAR,GLS,,,,Sedan/Saloon,4,,1984,,PUEBLA,,MEXICO,,,,,,,,,,,,,22OCT2020:13:18:49.827,1147,,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,Volkswagen,,4,,Gasoline,,,,85.76,115.00,,,,,Manual,,1st Row (Driver & Passenger),,Driver Seat Only,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3VWSC29M*YM******,,126.086147331316,12,4
13289,76,13,1-76-2019-013-10,10,2,4A3AB36F54E1,2004,4A3,MITSUBISHI MOTORS NORTH AMERICA,Mitsubishi,Mitsubishi Motors Corporation (MMC),MITSUBISHI,Galant,2004,PASSENGER CAR,MEDIUM,,,,Sedan/Saloon,4,,2400.0,,BLOOMINGTON-NORMAL,ILLINOIS,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:18:53.903,1054,,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4A3AB36F*4E******,,137.868846617038,3,4
13277,11,29,1-11-2019-029-04,4,2,4DRBUSKN78B6,2008,4DR,"IC BUS, LLC",IC Bus,"NAVISTAR, INC.",IC BUS,PB105,2008,BUS,CE,,,,Bus - School Bus,,International Maxxforce 7,6400.0,,TULSA,OKLAHOMA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:18:58.450,1064,,,,"Class 7: 26,001 - 33,000 lb (11,794 - 14,969 kg)",,,,,Not Applicable,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,,Air,,,,,,,,,,,Diesel,,,,,,,,,,,,,,,,,,0,Not Applicable,Not Applicable,Not Applicable,,4DRBUSKN*8B******,,3333.72856372597,8,4
13347,77,32,1-77-2019-032-08,8,2,4JGDA5HB4EA3,2014,4JG,"MERCEDES-BENZ OF NORTH AMERICA, INC.",Mercedes-Benz,Mercedes-Benz Cars,MERCEDES-BENZ,ML-Class,2014,MULTIPURPOSE PASSENGER VEHICLE (MPV),ML350,4-MATIC,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,,3500.0,,VANCE,,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:03.420,1043,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,,,,Manual,Yes,1st Row (Driver & Passenger),,1st & 2nd Rows,,,,0,Not Applicable,,Not Applicable,Not Applicable,4JGDA5HB*EA******,Direct,268.462012277804,9,4
13440,19,22,1-19-2019-022-07,7,2,4M2EU38848UJ,2008,4M2,"FORD MOTOR COMPANY, USA",Ford,,MERCURY,Mountaineer,2008,MULTIPURPOSE PASSENGER VEHICLE (MPV),Premier,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,4600.0,,LOUISVILLE,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:08.687,976,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,Hydraulic,,,,,,,,,8,,Gasoline,,,V-Shaped,217.74,292.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,,Not Applicable,Not Applicable,4M2EU388*8U******,Direct,1351.22061104819,9,4
13489,25,23,1-25-2019-023-02,2,1,4M2EU47EX6UJ,2006,4M2,"FORD MOTOR COMPANY, USA",Ford,,MERCURY,Mountaineer,2006,MULTIPURPOSE PASSENGER VEHICLE (MPV),Luxury,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,4000.0,,LOUISVILLE,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:08.763,976,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,,,V-Shaped,156.60,210.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,,Not Applicable,Not Applicable,4M2EU47E*6U******,,36.6784290500258,2,4
13489,25,23,1-25-2019-023-02,2,2,4S3BNAN69H30,2017,4S3,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Legacy,2017,PASSENGER CAR,,Limited + M/R + ES + NAVI,,,Sedan/Saloon,4,U5,2500.0,Continuously Variable Transmission (CVT),LAFAYETTE,INDIANA,UNITED STATES (USA),Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,,,,22OCT2020:13:19:26.047,1075,SIA,,,,,108.30,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,,AWD/All Wheel Drive,2,,,,,,,,,,,4,,Gasoline,,,,130.50,175.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,1st Row (Driver & Passenger),Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4S3BNAN6*H3******,Direct,36.6784290500258,2,4
13309,27,17,1-27-2019-017-03,3,1,4S4BP61C4573,2005,4S4,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Outback,2005,MULTIPURPOSE PASSENGER VEHICLE (MPV),,2.5i,,,Wagon,4,,2500,Automatic,LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:28.750,1075,SIA,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,4,AWD/All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),,,,0,Not Applicable,,Not Applicable,Not Applicable,4S4BP61C*57******,,75.8136367067027,3,4
13461,22,34,1-22-2019-034-06,6,2,4S4BRBGC0C32,2012,4S4,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Outback,2012,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Premium +M/R+CWP,,,Wagon,,2.5NA U5,2500.0,Continuously Variable Transmission (CVT),LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:30.437,1075,SIA,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,,,,,,,,Subaru,,4,,Gasoline,,,Horizontally opposed (boxer),,,,,,No,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,,Not Applicable,Not Applicable,4S4BRBGC*C3******,Direct,121.225297376505,12,4
13085,54,13,1-54-2019-013-04,4,2,4S4BRCAC1E32,2014,4S4,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Outback,2014,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Base(w/o AL wheel + Power seat or w/ AL wheel),,,Wagon,,2.5NA U6,2500.0,Continuously Variable Transmission (CVT),LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:31.530,1075,SIA,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,No,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,,Not Applicable,Not Applicable,4S4BRCAC*E3******,Direct,842.351697434565,9,4
13423,10,16,1-10-2019-016-10,10,1,4S4BSACC9H32,2017,4S4,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Outback,2017,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Premium,,,Wagon,,U5,2500.0,Continuously Variable Transmission (CVT),LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:33.530,1075,SIA,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,,130.50,175.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,1st Row (Driver & Passenger),,0,Not Applicable,,Not Applicable,Not Applicable,4S4BSACC*H3******,Direct,2272.89860604013,4,4
13130,26,26,1-26-2019-026-05,5,2,4S4BSACCXF32,2015,4S4,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Outback,2015,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Premium+All Weather Package,,,Wagon,4,2.5L U5,2500.0,Continuously Variable Transmission (CVT),LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:33.607,1075,SIA,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,,Not Applicable,Not Applicable,4S4BSACC*F3******,Direct,51.1357773593974,10,4
13333,21,33,1-21-2019-033-02,2,2,4S4BSBFCXG32,2016,4S4,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Outback,2016,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Premium + AWP + ES,,,Wagon,,2.5L U6,2500.0,,LAFAYETTE,INDIANA,UNITED STATES (USA),Standard,,Standard,Standard,,Standard,,,,,,,22OCT2020:13:19:35.170,1075,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,AWD/All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,1st Row (Driver & Passenger),,0,Not Applicable,,Not Applicable,Not Applicable,4S4BSBFC*G3******,Direct,35.1295289192636,11,4
13307,19,19,1-19-2019-019-03,3,2,4T1B11HK8JU6,2018,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2018,PASSENGER CAR,AXVA70L/GSV70L/AXVH70L/AXVH71L,L/LE/SE/XLE,,,Sedan/Saloon,4,A25A-FKS,2487,Automatic,,KENTUCKY,UNITED STATES (USA),Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,,,,22OCT2020:13:19:38.840,1088,"Toyota Motor Manufacturing, Kentucky, Inc",Standard,,,,111.20,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,8,4x2,2,,,1,,,,,,Toyota,4,4,,Gasoline,,,In-Line,151.38,203.00,,Dual Overhead Cam (DOHC),,,Manual,Yes,1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,All Rows,,Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1B11HK*JU******,Direct,312.917156628371,9,4
13384,26,37,1-26-2019-037-03,3,1,4T1BE32K73U7,2003,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2003,PASSENGER CAR,MCV30L/ACV30L,,,,Sedan/Saloon,4,2AZ-FE,2362,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:43.513,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,Toyota,,4,Water,Gasoline,,,In-Line,117.07,157.00,170.00,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BE32K*3U******,,414.368608626376,10,4
13281,73,17,1-73-2019-017-02,2,1,4T1BE32K85U5,2005,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2005,PASSENGER CAR,ACV30L/MCV30L/MCV31L,,,,Sedan/Saloon,4,2AZ-FE,2362,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:43.670,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,Toyota,,4,Water,Gasoline,,,In-Line,111.11,149.00,170.00,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BE32K*5U******,,37.4187375463615,3,4
13514,32,47,1-32-2019-047-03,3,2,4T1BF1FK4HU6,2017,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2017,PASSENGER CAR,ASV50L/GSV50L/AVV50L,LE/SE/XLE/XSE,,,Sedan/Saloon,4,2AR-FE,2500.0,Automatic,,KENTUCKY,UNITED STATES (USA),,Standard,,,Standard,,,,Standard,,,,22OCT2020:13:19:51.717,1088,"Toyota Motor Manufacturing, Kentucky, Inc",Standard,,,,109.30,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,6,4x2,2,,,,,,,,,Toyota,,4,,Gasoline,,Multipoint Fuel Injection (MPFI),In-Line,132.73,178.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,All Rows,,Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BF1FK*HU******,Direct,967.020096116497,7,4
13367,32,38,1-32-2019-038-06,6,1,4T1BF1FK9DU6,2013,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2013,PASSENGER CAR,ASV50L/GSV50L/AVV50L,,,,Sedan/Saloon,4,2AR-FE,2500.0,,GEORGETOWN,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:55.140,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,Multipoint Fuel Injection (MPFI),In-Line,132.73,178.00,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,All Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BF1FK*DU******,Direct,1175.77799215703,7,4
13426,27,22,1-27-2019-022-03,3,2,4T1BF28B12U2,2002,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Avalon,2002,PASSENGER CAR,MCX20L,,,,Sedan/Saloon,4,1MZ-FE,3000.0,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:57.233,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,Toyota,4,6,Water,Gasoline,,,V-Shaped,137.21,184.00,217.00,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BF28B*2U******,,95.3178813036127,3,4
13413,24,40,1-24-2019-040-06,6,1,4T1BF3EK3BU1,2011,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2011,PASSENGER CAR,ASV40L/GSV40L/AHV40L,,,,Sedan/Saloon,4,2AR-FE,2500.0,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:59.153,1088,,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,In-Line,126.02,169.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BF3EK*BU******,Direct,681.923479586081,1,4
13451,29,38,1-29-2019-038-06,6,1,4T1BG12K4TU7,1996,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,1996,PASSENGER CAR,MCX10L,,,,Sedan/Saloon,4,5S-FE,2164,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:20:00.857,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,Toyota,,4,,Gasoline,,,In-Line,96.94,130.00,138.00,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BG12K*TU******,,90.9780292607777,2,4
